Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
geladeira brastemp com gaveta no meio,"Informational, Transactional",320,31,0.20,1.00,"Sitelinks, Image pack, Video, Video carousel, Related searches, Popular products"
gaveta geladeira,Informational,260,17,0.07,1.00,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
tampa da gaveta da geladeira electrolux,"Informational, Transactional",260,24,0.04,1.00,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
gaveta de legumes geladeira consul,"Informational, Transactional",210,18,0.06,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products"
gaveta geladeira brastemp frost free,"Informational, Transactional",210,23,0.06,1.00,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products, Ads bottom"
gavetas para geladeira brastemp,"Informational, Transactional",210,24,0.11,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products"
geladeira gaveta,Informational,210,19,0.24,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products"
geladeira vazando água embaixo da gaveta de legumes,Informational,210,29,0.44,0.11,"AI Overview, Video, People also ask, Related searches"
tampa gaveta legumes geladeira electrolux,Informational,210,33,0.06,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products"
gaveta da geladeira continental,"Informational, Transactional",170,22,0.03,1.00,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
gaveta de geladeira consul antiga,Informational,170,21,0.04,1.00,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
gaveta para geladeira consul frost free,"Informational, Transactional",170,22,0.05,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products, Ads bottom"
gaveta para geladeira continental,Informational,170,21,0.04,1.00,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
gaveta para geladeira dako antiga,"Informational, Transactional",170,24,0.02,0.50,"Image, Image pack, People also ask, Related searches, Popular products"
geladeira com gaveta externa,Informational,170,21,0.15,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products"
geladeira de gaveta,"Informational, Transactional",170,15,0.15,1.00,"Sitelinks, Image pack, Video, Video carousel, Related searches, Popular products"
tampa da gaveta de legumes da geladeira brastemp ative,Informational,170,24,0.06,1.00,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
tampa gaveta legumes geladeira brastemp,"Informational, Transactional",170,23,0.19,1.00,"Sitelinks, Related searches, Popular products"
gaveta de legumes geladeira brastemp,Informational,140,23,0.08,1.00,"Sitelinks, AI Overview, Image pack, Video, Related searches, Popular products"
gaveta geladeira continental,Informational,140,24,0.04,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products"
gavetas geladeira,Informational,140,8,0.07,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products"
geladeira brastemp com gaveta,Informational,140,24,0.58,1.00,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
geladeira com gavetas,Informational,140,,0.25,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products"
geladeira pingando água na gaveta de legumes,Informational,140,28,0.49,0.12,"AI Overview, Video, Short videos, People also ask, Related searches"
tampa da gaveta da geladeira brastemp,Informational,140,20,0.10,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products, Ads bottom"
tampa da gaveta da geladeira electrolux frost free,Informational,140,29,0.05,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products"
como colocar a gaveta da geladeira electrolux inverse,Informational,110,28,0.00,0.00,"AI Overview, Image pack, Video, People also ask, Related searches"
gaveta da geladeira brastemp clean,Informational,110,16,0.12,1.00,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
gaveta da geladeira dako,"Informational, Commercial",110,21,0.02,0.68,"Sitelinks, Image, Image pack, Related searches, Popular products"
gaveta de geladeira continental,Informational,110,22,0.03,1.00,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
gaveta de legumes geladeira continental 470 litros,"Informational, Transactional",110,21,0.03,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products"
gaveta de legumes geladeira electrolux,Informational,110,21,0.04,0.99,"Sitelinks, AI Overview, Video, Related searches, Popular products"
gaveta do freezer da geladeira brastemp inverse,"Informational, Transactional",110,20,0.07,1.00,"Sitelinks, Image pack, Video, Video carousel, Related searches, Popular products"
gaveta geladeira brastemp ative,"Informational, Transactional",110,22,0.20,1.00,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
gaveta geladeira brastemp brm39ebana,Informational,110,21,0.13,1.00,"Sitelinks, Image pack, Related searches, Popular products, Ads bottom"
gaveta geladeira brastemp clean,Informational,110,20,0.07,0.99,"Sitelinks, Video, People also ask, Related searches, Popular products"
gaveta geladeira brastemp inverse 573 litros,"Informational, Transactional",110,23,0.10,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products"
gaveta geladeira consul facilite frost free,"Informational, Transactional",110,17,0.06,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products"
gaveta geladeira dako,"Informational, Transactional",110,24,0.02,0.68,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
gaveta para geladeira dako,"Informational, Transactional",110,24,0.02,0.86,"Image, Image pack, People also ask, Related searches, Popular products, Ads bottom"
gaveta vertical ao lado da geladeira,Informational,110,28,0.00,0.13,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products"
geladeira com gaveta embaixo,Informational,110,15,0.16,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products"
tampa da gaveta de legumes da geladeira brastemp frost free,"Informational, Transactional",110,19,0.11,1.00,"Sitelinks, Image pack, Related searches, Popular products, Ads bottom"
tampa da gaveta de legumes da geladeira electrolux,"Informational, Transactional",110,26,0.04,1.00,"Sitelinks, Image pack, People also ask, Related searches, Popular products"
tampa da gaveta de legumes da geladeira electrolux frost free,"Informational, Transactional",110,,0.04,1.00,"Sitelinks, Image pack, Related searches, Popular products, Ads bottom"
tampa da gaveta geladeira electrolux,"Informational, Transactional",110,,0.05,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products"
tampa gaveta geladeira electrolux,"Informational, Transactional",110,22,0.05,1.00,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
gaveta de geladeira consul 340,Informational,90,17,0.05,0.99,"Sitelinks, Image pack, Related searches, Popular products"
gaveta de geladeira consul facilite frost free,"Informational, Commercial",90,12,0.04,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products"
gaveta de geladeira dako,Informational,90,21,0.02,0.86,"Image, Image pack, Related searches, Popular products"
gaveta de gelo geladeira electrolux,Informational,90,26,0.07,1.00,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products, Ads bottom"
gaveta de legumes geladeira electrolux frost free,"Informational, Transactional",90,28,0.04,1.00,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
gaveta geladeira brastemp frost free clean,"Informational, Transactional",90,21,0.09,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products"
gaveta geladeira electrolux inverse,"Informational, Transactional",90,27,0.05,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products"
gaveta geladeira panasonic inverter,"Informational, Transactional",90,21,0.08,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products"
gaveta legumes geladeira brastemp frost free clean,"Informational, Transactional",90,24,0.08,1.00,"Sitelinks, Image pack, Video, People also ask, Related searches"
geladeira 2 portas e 2 gavetas,Informational,90,14,0.23,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products"
geladeira de gaveta para caminhao,"Informational, Transactional",90,4,0.10,1.00,"Sitelinks, Image pack, Video, Video carousel, Short videos, Related searches, Popular products"
geladeira freezer gaveta,Informational,90,26,0.17,1.00,"Sitelinks, Image pack, Video, Video carousel, Related searches, Popular products"
geladeira gaveta no meio,"Informational, Transactional",90,17,0.23,1.00,"Sitelinks, Image pack, Video, Video carousel, Related searches, Popular products"
geladeira inverse com gaveta,Informational,90,21,0.24,1.00,"Sitelinks, Image pack, Video, Video carousel, Related searches, Popular products"
geladeira inverse com gaveta no meio,Informational,90,15,0.15,1.00,"Sitelinks, Image pack, Video, Video carousel, Related searches"
organizador de gaveta de geladeira,Informational,90,19,0.05,1.00,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, Popular products"
organizador de gavetas de geladeira,Informational,90,23,0.05,1.00,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, Popular products"
tampa da gaveta de legumes para geladeira consul,"Informational, Transactional",90,18,0.07,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products"
tampa gaveta de legumes geladeira electrolux df42 original,Commercial,90,10,0.06,1.00,"Sitelinks, Image, Video, Related searches, Popular products"
gaveta da geladeira electrolux frost free,,70,,0.04,1.00,
gaveta de geladeira brastemp inverse,,70,,0.09,1.00,
gaveta de geladeira consul 300 litros,,70,,0.04,0.98,
gaveta de legumes geladeira consul crb39,,70,,0.07,1.00,
gaveta de verduras geladeira consul,,70,,0.04,1.00,
gaveta geladeira consul 280,,70,,0.04,0.93,
gaveta legumes frontal geladeira brastemp bre50n inverse,,70,,0.16,1.00,
gaveta para geladeira continental 470 litros,,70,,0.03,1.00,
gaveta para geladeira dako redk37,,70,,0.03,0.37,
gavetas para geladeira,,70,,0.19,1.00,
geladeira 2 portas e 1 gaveta,,70,,0.23,1.00,
geladeira brastemp gaveta no meio,,70,,0.56,1.00,
geladeira brastemp inverse com gaveta no meio,,70,,0.33,1.00,
geladeira duas portas e duas gavetas,,70,,0.14,1.00,
tampa da gaveta da geladeira continental 470 litros,,70,,0.02,1.00,
como colocar a gaveta do congelador da geladeira electrolux,,50,,0.00,0.01,
como colocar a gaveta do freezer da geladeira electrolux inverse,,50,,0.00,0.33,
como encaixar a gaveta do freezer da geladeira electrolux inverse,,50,,0.00,0.33,
gaveta da geladeira bosch,,50,,0.04,1.00,
gaveta da geladeira brastemp inverse ative,,50,,0.09,1.00,
gaveta de frutas geladeira electrolux,,50,,0.05,1.00,
gaveta de geladeira electrolux pequena,,50,,0.04,1.00,
gaveta de gelo geladeira brastemp,,50,,0.26,1.00,
gaveta de legumes geladeira consul frost free,,50,,0.07,1.00,
gaveta geladeira bosch,,50,,0.04,1.00,
gaveta geladeira consul facilite,,50,,0.07,1.00,
gaveta geladeira continental copacabana,,50,,0.03,1.00,
gaveta geladeira eletrolux,,50,,0.04,1.00,
gaveta para geladeira bosch,,50,,0.04,1.00,
gaveta para geladeira continental copacabana,,50,,0.03,1.00,
gaveta para geladeira electrolux frost free,,50,,0.05,1.00,
geladeira brastemp gaveta,,50,,1.10,1.00,
geladeira com duas gavetas,,50,,0.20,1.00,
geladeira com freezer de gaveta,,50,,0.19,1.00,
geladeira com freezer gaveta,,50,,0.27,1.00,
geladeira com freezer gaveta embaixo,,50,,0.30,1.00,
geladeira com gaveta fresh freezer,,50,,0.24,1.00,
geladeira com gaveta para cerveja,,50,,0.17,1.00,
geladeira electrolux com gaveta fresh flex,,50,,0.13,1.00,
geladeira side by side com gavetas,,50,,0.29,1.00,
tampa da gaveta de legumes da geladeira brastemp clean,,50,,0.10,1.00,
tampa gaveta legumes geladeira brastemp brm50,,50,,0.19,1.00,
como tirar a gaveta da geladeira brastemp frost free,,40,,0.00,0.02,
gaveta da geladeira,,40,,0.22,0.93,
gaveta da geladeira consul facilite,,40,,0.02,1.00,
gaveta da geladeira continental copacabana rdv48,,40,,0.02,1.00,
gaveta de carne geladeira consul,,40,,0.06,1.00,
gaveta de geladeira consul frost free,,40,,0.05,1.00,
gaveta de legumes geladeira bosch kdv47,,40,,0.05,0.95,
gaveta do freezer da geladeira brastemp inverse ative,,40,,0.09,1.00,
gaveta geladeira brastemp frost free inverse,,40,,0.30,1.00,
gaveta geladeira consul crd36,,40,,0.05,1.00,
gaveta geladeira panasonic,,40,,0.10,1.00,
gaveta geladeira samsung,,40,,0.07,1.00,
gaveta para geladeira consul facilite frost free,,40,,0.04,1.00,
geladeira de gaveta para caminhão,,40,,0.09,1.00,
geladeira duas portas e gaveta,,40,,0.23,1.00,
geladeira electrolux com gaveta,,40,,0.20,1.00,
geladeira electrolux com gaveta no meio,,40,,0.16,1.00,
geladeira electrolux gaveta fresh&flex,,40,,0.17,1.00,
geladeira electrolux vazando água na gaveta de legumes,,40,,0.33,0.10,
geladeira vazando água embaixo da gaveta de legumes electrolux,,40,,0.00,0.08,
tampa da gaveta de geladeira electrolux,,40,,0.04,1.00,
tampa da gaveta de legumes geladeira brastemp brm39 / brm42,,40,,0.08,1.00,
tampa da gaveta de legumes para geladeira,,40,,0.16,1.00,
tampa de gaveta de geladeira electrolux,,40,,0.03,1.00,
tampa gaveta legumes geladeira electrolux dfn41,,40,,0.05,1.00,
brastemp geladeira gaveta,,30,,0.85,1.00,
como colocar a gaveta da geladeira electrolux,,30,,0.00,0.33,
como colocar a gaveta da geladeira electrolux frost free,,30,,0.00,0.01,
como colocar a gaveta do freezer da geladeira electrolux,,30,,0.00,0.33,
como encaixar a gaveta da geladeira electrolux,,30,,0.00,0.33,
como tirar a gaveta da geladeira electrolux,,30,,0.00,0.33,
gaveta de geladeira brastemp clean,,30,,0.17,1.00,
gaveta de geladeira eletrolux,,30,,0.04,1.00,
gaveta de geladeira panasonic,,30,,0.05,1.00,
gaveta de gelo geladeira electrolux frost free,,30,,0.03,0.97,
gaveta de legumes da geladeira brastemp clean,,30,,0.10,1.00,
gaveta de legumes da geladeira dako redk37,,30,,0.02,0.43,
gaveta de legumes da geladeira electrolux,,30,,0.04,1.00,
gaveta de legumes geladeira consul crm33,,30,,0.07,0.98,
gaveta de legumes geladeira consul facilite crb36,,30,,0.06,1.00,
gaveta de legumes geladeira electrolux df42 original,,30,,0.05,1.00,
gaveta de vidro da geladeira brastemp,,30,,0.08,0.76,
gaveta freezer geladeira brastemp inverse,,30,,0.11,1.00,
gaveta geladeira brastemp inverse 422 litros,,30,,0.12,1.00,
gaveta geladeira brastemp inverse maxi,,30,,0.19,1.00,
gaveta geladeira consul crm37ebana,,30,,0.05,1.00,
gaveta geladeira consul frost free,,30,,0.04,1.00,
gaveta geladeira continental 470,,30,,0.04,1.00,
gaveta geladeira dako redk37,,30,,0.03,0.54,
gaveta geladeira electrolux dc35a,,30,,0.04,1.00,
gaveta geladeira samsung digital inverter,,30,,0.07,1.00,
gaveta geladeira samsung rt38,,30,,0.12,0.98,
gaveta para geladeira dako 380,,30,,0.02,0.33,
geladeira 3 portas e 1 gaveta,,30,,0.27,1.00,
geladeira brastemp inverse com gaveta,,30,,0.52,1.00,
geladeira com gaveta fresh flex,,30,,0.20,1.00,
geladeira com gaveta no meio brastemp,,30,,0.31,1.00,
geladeira inverse freezer gaveta,,30,,0.27,1.00,
geladeira inverse gaveta,,30,,0.31,1.00,
geladeira pingando água na gaveta,,30,,0.00,0.04,
geladeira side by side com gaveta,,30,,0.29,1.00,
organizador de gaveta geladeira,,30,,0.03,1.00,
organizador de gavetas geladeira,,30,,0.03,1.00,
organizador gaveta geladeira,,30,,0.06,1.00,
tampa da gaveta de geladeira consul,,30,,0.06,1.00,
tampa da gaveta de legumes da geladeira brastemp,,30,,0.09,1.00,
tampa da gaveta de legumes da geladeira continental,,30,,0.03,1.00,
tampa da gaveta de legumes da geladeira panasonic,,30,,0.06,0.98,
tampa da gaveta de legumes para geladeira brastemp,,30,,0.19,1.00,
tampa gaveta geladeira brastemp,,30,,0.31,1.00,
tampa gaveta legumes geladeira brastemp brm39,,30,,0.10,1.00,
agua embaixo da gaveta da geladeira,,20,,0.00,0.06,
cola para colar gaveta de geladeira,,20,,0.00,1.00,
colar gaveta de geladeira,,20,,0.00,0.04,
como arrumar gaveta de geladeira quebrada,,20,,0.00,0.05,
como colar gaveta de geladeira,,20,,0.00,0.30,
como colocar as gavetas da geladeira electrolux frost free,,20,,0.00,0.33,
como colocar as gavetas da geladeira electrolux inverse,,20,,0.00,0.33,
como colocar as gavetas do freezer da geladeira electrolux,,20,,0.00,0.33,
como colocar gaveta da geladeira electrolux,,20,,0.00,0.33,
como consertar gaveta de geladeira,,20,,0.00,0.14,
como consertar gaveta de geladeira quebrada,,20,,0.00,0.33,
como desmontar a gaveta da geladeira electrolux,,20,,0.00,0.03,
como desmontar a gaveta da geladeira samsung,,20,,0.00,0.01,
como desmontar a gaveta de legumes da geladeira electrolux,,20,,0.00,0.33,
como desmontar gaveta da geladeira brastemp,,20,,0.00,0.33,
como desmontar gaveta da geladeira electrolux,,20,,0.00,0.33,
como desmontar gaveta de legumes da geladeira brastemp,,20,,0.00,0.33,
como desmontar gaveta de legumes da geladeira electrolux,,20,,0.00,0.33,
como desmontar gaveta de legumes da geladeira electrolux frost free,,20,,0.00,0.33,
como encaixar a gaveta da geladeira brastemp,,20,,0.00,0.33,
como guardar legumes na gaveta da geladeira,,20,,0.00,0.82,
como limpar a gaveta da geladeira,,20,,0.00,0.33,
como limpar a gaveta da geladeira electrolux,,20,,0.00,0.01,
como limpar a gaveta de legumes da geladeira electrolux,,20,,0.00,0.03,
como limpar gaveta de geladeira,,20,,0.00,0.33,
como organizar a gaveta da geladeira,,20,,0.00,1.00,
como organizar a gaveta de legumes da geladeira,,20,,0.00,1.00,
como organizar gaveta de geladeira,,20,,0.00,1.00,
como organizar legumes na gaveta da geladeira,,20,,0.00,1.00,
como tirar a gaveta da geladeira,,20,,0.00,0.33,
como tirar a gaveta da geladeira brastemp,,20,,0.00,0.33,
como tirar a gaveta da geladeira brastemp ative,,20,,0.00,0.01,
como tirar a gaveta da geladeira brastemp inverse,,20,,0.00,0.33,
como tirar a gaveta da geladeira consul,,20,,0.00,0.33,
como tirar a gaveta da geladeira electrolux frost free,,20,,0.00,0.01,
como tirar a gaveta da geladeira samsung,,20,,0.00,0.33,
como tirar a gaveta de gelo da geladeira brastemp,,20,,0.00,0.33,
como tirar a gaveta de gelo da geladeira brastemp ative,,20,,0.00,0.33,
como tirar a gaveta de legumes da geladeira electrolux,,20,,0.00,0.33,
como tirar a gaveta de tras da geladeira,,20,,0.00,0.33,
como tirar a tampa da gaveta da geladeira electrolux,,20,,0.00,0.33,
como tirar a tampa da gaveta da geladeira electrolux df42,,20,,0.00,0.33,
como tirar as gavetas da geladeira brastemp,,20,,0.00,0.33,
como tirar as gavetas da geladeira consul,,20,,0.00,0.33,
como tirar gaveta da geladeira electrolux,,20,,0.00,0.33,
como tirar gaveta geladeira brastemp,,20,,0.00,0.33,
comprar gaveta de geladeira,,20,,0.00,1.00,
comprar gaveta de geladeira consul,,20,,0.00,1.00,
comprar gaveta geladeira brastemp,,20,,0.26,0.86,
divisorias para gaveta de geladeira,,20,,0.00,1.00,
electrolux geladeira com gaveta,,20,,0.00,1.00,
electrolux geladeira gaveta,,20,,0.00,1.00,
forma gaveta gelo geladeira electrolux ice max original,,20,,0.07,1.00,
frontal da gaveta de legumes para geladeira,,20,,0.00,1.00,
gaveta acrilico geladeira,,20,,0.00,0.89,
gaveta atras da geladeira,,20,,0.00,0.88,
gaveta da geladeira brastemp ative,,20,,0.09,1.00,
gaveta da geladeira brastemp duplex,,20,,0.07,1.00,
gaveta da geladeira brastemp frost free,,20,,0.08,1.00,
gaveta da geladeira consul 280,,20,,0.05,1.00,
gaveta da geladeira consul facilite frost free,,20,,0.04,1.00,
gaveta da geladeira consul frost free,,20,,0.05,0.99,
gaveta da geladeira continental 470 litros,,20,,0.03,1.00,
gaveta da geladeira continental copacabana,,20,,0.03,1.00,
gaveta da geladeira dako 360 litros,,20,,0.03,0.56,
gaveta da geladeira dako 380,,20,,0.02,0.53,
gaveta da geladeira dako redk37,,20,,0.02,0.40,
gaveta da geladeira electrolux infinity,,20,,0.03,1.00,
gaveta da geladeira electrolux infinity df80,,20,,0.04,0.62,
gaveta da geladeira eletrolux,,20,,0.04,1.00,
gaveta da geladeira inverse brastemp,,20,,0.13,1.00,
gaveta da geladeira panasonic,,20,,0.06,1.00,
gaveta da geladeira panasonic inverter,,20,,0.04,1.00,
gaveta da geladeira samsung,,20,,0.05,1.00,
gaveta de acrilico geladeira,,20,,0.00,1.00,
gaveta de agua geladeira electrolux,,20,,0.05,1.00,
gaveta de carne geladeira consul cra30,,20,,0.04,1.00,
gaveta de frios geladeira bosch,,20,,0.05,0.87,
gaveta de frios geladeira brastemp,,20,,0.13,1.00,
gaveta de frios geladeira consul,,20,,0.04,0.94,
gaveta de frios geladeira continental,,20,,0.00,1.00,
gaveta de frios geladeira electrolux,,20,,0.05,0.60,
gaveta de frutas geladeira brastemp,,20,,0.16,1.00,
gaveta de frutas geladeira brastemp inverse,,20,,0.12,1.00,
gaveta de frutas geladeira consul,,20,,0.04,1.00,
gaveta de frutas geladeira dako,,20,,0.00,0.33,
gaveta de frutas geladeira samsung,,20,,0.00,1.00,
gaveta de geladeira bosch,,20,,0.04,0.98,
gaveta de geladeira brastemp clean frost free,,20,,0.07,1.00,
gaveta de geladeira brastemp frost free,,20,,0.09,1.00,
gaveta de geladeira consul 280,,20,,0.04,1.00,
gaveta de geladeira consul 280 litros,,20,,0.04,0.97,
gaveta de geladeira consul 300,,20,,0.00,1.00,
gaveta de geladeira consul biplex crd36,,20,,0.00,1.00,
gaveta de geladeira consul facilite,,20,,0.04,1.00,
gaveta de geladeira consul pequena,,20,,0.02,1.00,
gaveta de geladeira continental 470,,20,,0.00,1.00,
gaveta de geladeira continental 480 litros,,20,,0.03,0.98,
gaveta de geladeira continental copacabana,,20,,0.03,1.00,
gaveta de geladeira dako 380,,20,,0.03,0.66,
gaveta de geladeira dako duo 460,,20,,0.00,0.34,
gaveta de geladeira electrolux dc34,,20,,0.03,0.95,
gaveta de geladeira electrolux dc35a,,20,,0.04,1.00,
gaveta de geladeira electrolux df42,,20,,0.00,1.00,
gaveta de geladeira electrolux tf55,,20,,0.05,0.96,
gaveta de geladeira esmaltec,,20,,0.04,0.96,
gaveta de geladeira samsung,,20,,0.04,1.00,
gaveta de gelo geladeira ge,,20,,0.21,1.00,
gaveta de gelo geladeira samsung,,20,,0.12,1.00,
gaveta de legumes da geladeira brastemp,,20,,0.08,1.00,
gaveta de legumes da geladeira brastemp ative,,20,,0.00,1.00,
gaveta de legumes da geladeira brastemp inverse,,20,,0.06,1.00,
gaveta de legumes da geladeira consul,,20,,0.05,1.00,
gaveta de legumes da geladeira dako,,20,,0.02,0.86,
gaveta de legumes da geladeira dako redk38,,20,,0.05,0.31,
gaveta de legumes geladeira,,20,,0.05,1.00,
gaveta de legumes geladeira bosch,,20,,0.00,1.00,
gaveta de legumes geladeira bosch glass line 47,,20,,0.03,0.97,
gaveta de legumes geladeira brastemp ative,,20,,0.14,1.00,
gaveta de legumes geladeira brastemp brm39,,20,,0.09,1.00,
gaveta de legumes geladeira brastemp clean,,20,,0.07,1.00,
gaveta de legumes geladeira brastemp inverse,,20,,0.14,1.00,
gaveta de legumes geladeira brastemp inverse ative,,20,,0.10,1.00,
gaveta de legumes geladeira consul crd36,,20,,0.06,1.00,
gaveta de legumes geladeira consul crm37,,20,,0.04,1.00,
gaveta de legumes geladeira consul facilite,,20,,0.02,1.00,
gaveta de legumes geladeira consul facilite frost free,,20,,0.05,1.00,
gaveta de legumes geladeira continental,,20,,0.02,1.00,
gaveta de legumes geladeira continental 460 litros,,20,,0.04,1.00,
gaveta de legumes geladeira continental 470,,20,,0.00,1.00,
gaveta de legumes geladeira continental copacabana,,20,,0.00,0.97,
gaveta de legumes geladeira continental copacabana rdv37,,20,,0.03,0.89,
gaveta de legumes geladeira continental rdv48,,20,,0.00,0.00,
gaveta de legumes geladeira dako,,20,,0.04,0.87,
gaveta de legumes geladeira dako 380,,20,,0.03,0.95,
gaveta de legumes geladeira dako duo 360,,20,,0.05,0.75,
gaveta de legumes geladeira dako redk37,,20,,0.05,0.96,
gaveta de legumes geladeira dako redk38,,20,,0.02,0.18,
gaveta de legumes geladeira electrolux re28,,20,,0.04,0.99,
gaveta de legumes geladeira esmaltec,,20,,0.00,1.00,
gaveta de legumes geladeira samsung,,20,,0.12,1.00,
gaveta de legumes geladeira samsung digital inverter,,20,,0.07,1.00,
gaveta de legumes para geladeira,,20,,0.00,1.00,
gaveta de legumes para geladeira brastemp,,20,,0.06,1.00,
gaveta de legumes para geladeira consul,,20,,0.10,1.00,
gaveta de legumes para geladeira continental,,20,,0.02,1.00,
gaveta de legumes para geladeira dako,,20,,0.04,0.87,
gaveta de legumes para geladeira electrolux,,20,,0.00,1.00,
gaveta de porta de geladeira,,20,,0.00,0.82,
gaveta de verdura da geladeira dako,,20,,0.00,0.48,
gaveta de verdura geladeira consul 300 litros,,20,,0.00,1.00,
gaveta de verdura geladeira electrolux,,20,,0.04,1.00,
gaveta de verduras da geladeira electrolux,,20,,0.08,1.00,
gaveta de verduras geladeira brastemp,,20,,0.12,1.00,
