Position,Type,Domain,URL,Page AS,Ref.Domains,Backlinks,Search Traffic,URL Keywords,SERP Features
57,Organic,youtube.com,https://www.youtube.com/watch?v=1SugLO1yVMY,0,0,0,0,22,Video
58,Organic,elber.ind.br,https://elber.ind.br/atendimento/faq/,0,0,0,0,3,
59,Organic,youtube.com,https://www.youtube.com/watch?v=JmPwQMKipx4,0,0,0,11,86,Video
60,Organic,mercadolivre.com.br,https://www.mercadolivre.com.br/geladeira-elber-para-caminhao-externa-65-litros-12v24v/up/MLBU1108331007,0,0,0,0,2,Sitelinks
61,Organic,youtube.com,https://www.youtube.com/watch?v=Cst2lRlZ2rg,0,0,0,0,58,Video
62,Organic,elber.ind.br,https://elber.ind.br/faq/a-geladeira-caminhao-nao-esta-ligando-como-resolver/,0,0,0,2,16,
63,Organic,youtube.com,https://www.youtube.com/watch?v=wUYTvTIU-i0,0,0,0,0,24,Video
64,Organic,mercadolivre.com.br,https://www.mercadolivre.com.br/geladeira-portatil-elber-65-litros-fonte-12v-24v-110v-220v/up/MLBU3387987321,0,0,0,0,1,Sitelinks
65,Organic,elber.ind.br,https://elber.ind.br/faq/como-fazer-a-instalacao-eletrica-da-geladeira-externa-de-caminhao/,0,0,0,0,4,
66,Organic,youtube.com,https://www.youtube.com/watch?v=AZOLH7RTfhE,0,0,0,0,5,Video
67,Organic,elber.ind.br,https://elber.ind.br/produtos/geladeira-nautica-elber-32-litros-12v-24v/,0,0,0,0,9,
68,Organic,mercadolivre.com.br,https://www.mercadolivre.com.br/geladeira-elber-para-caminhao-externa-65-litros-12v24v/up/MLBU2185673340,0,0,0,0,1,
69,Organic,youtube.com,https://www.youtube.com/watch?v=7WO3xfE0AEA,0,0,0,8,80,Video
70,Organic,youtube.com,https://www.youtube.com/watch?v=ixCHV4BV7vw,0,0,0,0,30,Video
71,Organic,elber.ind.br,https://elber.ind.br/geladeira-portatil-para-caminhao/,0,0,0,1,42,
72,Organic,youtube.com,https://www.youtube.com/watch?v=h7QoNP5iV84,0,0,0,0,30,Video
73,Organic,elber.ind.br,https://elber.ind.br/produtos/geladeira-para-onibus-41-litros/,0,0,0,42,11,
74,Organic,youtube.com,https://www.youtube.com/watch?v=Br0ZYFcE5FE,0,0,0,0,14,Video
75,Organic,youtube.com,https://www.youtube.com/watch?v=OMirzQGM67g,0,0,0,0,16,Video
76,Organic,elber.ind.br,https://elber.ind.br/produtos/geladeira-portatil-com-rodas-elber/,0,0,0,6,14,
77,Organic,youtube.com,https://www.youtube.com/watch?v=O45eXoWyBjY,0,0,0,0,19,Video
78,Organic,mercadolivre.com.br,https://www.mercadolivre.com.br/geladeira-black-para-caminhao-bivolt-65-litros-elber/up/MLBU3077934023,0,0,0,0,1,
79,Organic,youtube.com,https://www.youtube.com/watch?v=qzp4yB9PdEg,0,0,0,0,20,Video
80,Organic,youtube.com,https://www.youtube.com/watch?v=CUk00RJ0OvQ,0,0,0,11,55,Video
81,Organic,mercadolivre.com.br,https://www.mercadolivre.com.br/geladeira-portatil-para-caminhao-elber-black-65l-bivolt/up/MLBU3529197194,0,0,0,0,1,
82,Organic,mercadolivre.com.br,https://www.mercadolivre.com.br/geladeira-para-caminho-elber-black-65-litros-1224v/p/MLB27521500,0,0,0,0,1,
83,Organic,mercadolivre.com.br,https://www.mercadolivre.com.br/geladeira-black-65l-para-caminhao-bivolt-1224v-elber/up/MLBU3077935993,0,0,0,0,1,
84,Organic,mercadolivre.com.br,https://www.mercadolivre.com.br/geladeira-portatil-elber-black-line-65-litros-preta-bivolt/up/MLBU3377252442,0,0,0,0,1,
85,Organic,mercadolivre.com.br,https://www.mercadolivre.com.br/geladeira-para-caminhao-65-litros-e-suporte-instalacao-1224/up/MLBU1415094881,0,0,0,0,1,
86,Organic,mercadolivre.com.br,https://www.mercadolivre.com.br/geladeira-caminhao-65-litros-truck-12v-24v-externa--elber/up/MLBU2991967872,0,0,0,0,1,
87,Organic,mercadolivre.com.br,https://lista.mercadolivre.com.br/geladeira-elber-usada,0,0,0,17,10,
88,Organic,mercadolivre.com.br,https://produto.mercadolivre.com.br/MLB-1613034366-geladeira-caminho-elber-gc65-kit-suporte-instalaco-1224-_JM,0,0,0,0,1,
89,Organic,mercadolivre.com.br,https://lista.mercadolivre.com.br/geladeira-elber-73-litros,0,0,0,1,11,
90,Organic,mercadolivre.com.br,https://www.mercadolivre.com.br/grade-inox-geladeira-elber-6573-litros-original/up/MLBU778874077,0,0,0,0,2,
91,Organic,mercadolivre.com.br,https://lista.mercadolivre.com.br/heladera-elber,0,0,0,0,1,
92,Organic,mercadolivre.com.br,https://produto.mercadolivre.com.br/MLB-2220253008-porta-geladeira-elber-65-litros-interior-branco-_JM,0,0,0,0,1,
93,Organic,mercadolivre.com.br,https://lista.mercadolivre.com.br/geladeira-elber-41-litros,0,0,0,141,15,
94,Organic,mercadolivre.com.br,https://lista.mercadolivre.com.br/geladeira-elber-31-litros,0,0,0,65,23,
95,Organic,mercadolivre.com.br,https://lista.mercadolivre.com.br/geladeira-elber-quadrivolt,0,0,0,13,12,
96,Organic,mercadolivre.com.br,https://lista.mercadolivre.com.br/geladeira-elber-85-litros,0,0,0,32,15,
97,Organic,mercadolivre.com.br,https://lista.mercadolivre.com.br/geladeira-elber-51-litros,0,0,0,11,6,
